,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
3010,威力名城,2018-05-20,665,0,1.4,MiddleOuter,Pace,1.0,0,1,1
3011,威力名城,2018-04-29,604,0,1.4,MiddleOuter,Late,2.0,0,0,0
3012,威力名城,2018-04-08,551,0,1.2,Inner,MiddleLate,2.0,0,0,1
3049,放眼量,2018-11-21,195,1,1.65,Outer,Late,1.0,0,0,0
3050,放眼量,2018-11-07,160,1,1.65,MiddleInner,MiddleLate,7.0,1,1,1
3051,放眼量,2018-10-18,107,1,1.65,Inner,MiddleFront,1.0,0,0,1
3052,放眼量,2018-10-03,70,1,1.2,MiddleInner,MiddleLate,1.0,0,0,0
3053,放眼量,2018-07-04,776,1,1.65,Inner,MiddleFront,2.0,0,0,0
3054,放眼量,2018-06-13,729,1,1.65,Outer,Late,1.0,0,0,0
3055,放眼量,2018-05-16,657,1,1.65,MiddleOuter,MiddleLate,3.0,0,0,0
3056,放眼量,2018-04-11,563,1,1.65,MiddleOuter,MiddleFront,2.0,0,1,1
3057,放眼量,2018-02-21,446,1,1.65,MiddleInner,MiddleFront,1.0,0,0,0
3094,友享友賞,2018-12-05,231,1,1.65,MiddleInner,Pace,2.0,0,0,0
3095,友享友賞,2018-11-04,149,0,1.4,Inner,MiddleFront,4.0,0,0,0
3096,友享友賞,2018-10-21,113,0,1.4,MiddleOuter,Pace,2.0,0,0,0
3097,友享友賞,2018-10-13,96,0,1.2,MiddleOuter,Pace,2.0,0,0,0
3098,友享友賞,2018-07-08,787,0,1.2,Outer,MiddleFront,5.0,0,0,0
3099,友享友賞,2018-06-03,703,0,1.4,MiddleInner,Pace,1.0,0,0,0
3100,友享友賞,2018-05-09,639,1,1.2,Outer,MiddleFront,2.0,0,0,0
3101,友享友賞,2018-04-11,565,1,1.2,Inner,Pace,1.0,0,0,1
3102,友享友賞,2018-03-21,519,1,1.2,Outer,Pace,2.0,0,0,0
3115,笑傲非凡,2018-12-16,258,0,1.4,MiddleInner,Pace,1.0,0,0,0
3116,笑傲非凡,2018-11-25,200,0,1.4,MiddleOuter,MiddleFront,2.0,0,0,0
